City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
59,Tasiilaq,65.6145,-37.6368,37.4,48,75,4.61,GL,2021-04-23 21:06:49
60,Port Alfred,-33.5906,26.891,66.51,73,0,21.39,ZA,2021-04-23 21:06:49
61,Dunedin,-45.8742,170.5036,55.99,88,55,3.0,NZ,2021-04-23 21:05:05
62,Saskylakh,71.9167,114.0833,33.58,96,100,18.95,RU,2021-04-23 21:06:50
63,Phan Thiet,10.9333,108.1,77.38,83,89,5.82,VN,2021-04-23 21:06:50
64,Abeche,13.8292,20.8324,88.47,13,50,10.51,TD,2021-04-23 21:06:50
65,Kodiak,57.79,-152.4072,39.2,87,90,5.75,US,2021-04-23 21:06:51
66,Tiksi,71.6872,128.8694,4.64,98,97,7.18,RU,2021-04-23 21:06:51
67,Jacareacanga,-6.2222,-57.7528,79.72,94,80,0.98,BR,2021-04-23 21:06:51
68,Filipesti,46.75,26.8833,39.2,93,0,3.44,RO,2021-04-23 21:06:51
69,Poya,-21.35,165.15,76.91,84,92,3.85,NC,2021-04-23 21:06:52
70,Wenling,28.3669,121.36,68.0,79,86,6.22,CN,2021-04-23 21:06:52
71,Jiaozuo,35.2397,113.2331,57.47,75,100,4.25,CN,2021-04-23 21:06:52
72,Moree,-29.4667,149.85,46.4,81,24,8.05,AU,2021-04-23 21:06:53
73,Coos Bay,43.3665,-124.2179,55.0,66,1,10.36,US,2021-04-23 21:05:53
74,Broken Hill,-31.95,141.4333,48.2,76,61,7.92,AU,2021-04-23 21:06:53
75,Tuktoyaktuk,69.4541,-133.0374,14.0,67,75,11.5,CA,2021-04-23 21:05:17
76,Port Elizabeth,-33.918,25.5701,62.6,88,40,9.22,ZA,2021-04-23 21:06:53
77,Corowa,-36.0333,146.3833,39.99,93,11,2.8,AU,2021-04-23 21:06:54
78,Lavrentiya,65.5833,-171.0,32.47,74,29,0.96,RU,2021-04-23 21:02:18
79,Buraydah,26.326,43.975,84.2,17,0,6.91,SA,2021-04-23 21:06:54
80,Les Trois-Ilets,14.539,-61.0361,84.2,61,20,13.8,MQ,2021-04-23 21:06:54
81,Gaoua,10.2992,-3.2508,88.57,38,89,8.63,BF,2021-04-23 21:02:17
