City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,Mandera,KE,94.48,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
417,Vaitape,PF,80.4,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
424,The Valley,AI,82.4,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
425,Porbandar,IN,86.56,clear sky,21.6422,69.6093,Lords Inn Porbandar
426,Aripuana,BR,84.96,few clouds,-9.1667,-60.6333,
432,Jiwani,PK,83.16,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
433,Tutoia,BR,87.8,scattered clouds,-2.7619,-42.2744,Pousada Guará's
442,Kutum,SD,93.6,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
449,Phuket,TH,82.4,broken clouds,8.0,98.25,The Surin Phuket
452,Gbongan,NG,90.34,overcast clouds,7.4667,4.35,Aderemi Guest Garden
453,Sao Jose Da Coroa Grande,BR,83.26,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
457,Palmaner,IN,84.81,scattered clouds,13.2,78.75,NEW Vivekananda Lodge
461,Nagapattinam,IN,84.83,overcast clouds,10.7667,79.8333,Sathya Lodge
463,Garowe,SO,89.74,broken clouds,8.4054,48.4845,Curubo Hotel
470,Banda Aceh,ID,82.29,overcast clouds,5.5577,95.3222,Sulthan Hotel International
473,Port Blair,IN,83.71,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
474,Morros,BR,81.27,moderate rain,-9.4467,-46.3003,
475,Sompeta,IN,82.99,scattered clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
476,Pundaguitan,PH,83.77,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
496,Kahramanmaras,TR,86.0,scattered clouds,38.0,37.0,
497,Oussouye,SN,86.0,clear sky,12.485,-16.5469,Auberge du Routard
501,Nhamunda,BR,82.15,moderate rain,-2.1861,-56.7131,Pousada Da Praia
502,Ode,NG,89.08,overcast clouds,7.7899,5.7117,MORALAB HOTEL
511,Salalah,OM,86.0,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
523,Touros,BR,84.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
526,Dasoguz,TM,80.6,clear sky,41.8363,59.9666,Hotel Erik
528,Grajau,BR,84.34,broken clouds,-5.8194,-46.1386,Hotel Confiança
533,Balabac,PH,81.64,clear sky,7.9868,117.0645,Sing and Swing Lodge
534,Cururupu,BR,82.15,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
536,Sur,OM,88.84,clear sky,22.5667,59.5289,Sur Plaza Hotel
538,Beloha,MG,81.57,broken clouds,-25.1667,45.05,
539,Bonthe,SL,91.92,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
542,Ban Chang,TH,88.0,few clouds,12.7254,101.0553,Grand Garden Hotel
545,Poco Branco,BR,86.0,broken clouds,-5.6228,-35.6628,Casa França
548,Mecca,SA,94.96,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
554,Qui Nhon,VN,80.53,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
558,Balkanabat,TM,87.57,clear sky,39.5108,54.3671,Nebitchi Hotel
559,Morondava,MG,82.71,clear sky,-20.2833,44.2833,La Case Bambou
564,Tecoanapa,MX,81.37,overcast clouds,16.5167,-98.75,Hotel Manglares
